,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
109,109,2020-05-30,31.9,11,-0.2,▼,6.0,-0.6,telos_boltor
71,71,2020-05-30,34.9,2,-0.4,▼,-1.0,-1.1,viper_wraith
109,109,2020-05-30,27.5,8,1.4,▲,-2.0,5.4,vaykor_marelok
109,109,2020-05-30,31.4,16,0.0,-,-8.0,0.0,synoid_gammacor
108,108,2020-05-30,30.3,11,-0.3,▼,1.0,-1.0,rakta_ballistica
104,104,2020-05-30,72.9,3,3.0,▲,1.0,4.3,mara_detron
109,109,2020-05-30,32.8,11,-0.8,▼,-7.0,-2.4,secura_dual_cestra
105,105,2020-05-30,66.3,2,-1.0,▼,11.0,-1.5,prisma_twin_gremlins
109,109,2020-05-30,31.7,10,-0.3,▼,-2.0,-0.9,telos_akbolto
109,109,2020-05-30,34.4,12,-1.5,▼,4.0,-4.2,sancti_castanas
104,104,2020-05-30,62.8,3,-5.0,▼,9.0,-7.4,prisma_skana
101,101,2020-05-30,53.5,6,0.5,▲,10.0,0.9,prisma_dual_cleavers
102,102,2020-05-30,48.3,2,-0.1,▼,10.0,-0.2,machete_wraith
91,91,2020-05-30,79.1,1,2.5,▲,12.0,3.3,prova_vandal
109,109,2020-05-30,33.6,15,0.6,▲,6.0,1.8,rakta_dark_dagger
109,109,2020-05-30,28.1,11,0.4,▲,2.0,1.4,vaykor_sydon
109,109,2020-05-30,32.3,14,0.2,▲,-4.0,0.6,synoid_heliocor
109,109,2020-05-30,35.0,18,-0.4,▼,-10.0,-1.1,sancti_magistar
109,109,2020-05-30,35.4,15,0.5,▲,0.0,1.4,secura_lecta
87,87,2020-05-30,116.5,1,-2.0,▼,6.0,-1.7,prisma_veritux
